"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
10.9,90.0000000000002,-180,-50.5891548664432,-45.6629047090673
10.9,90.0000000000002,-170,-53.2593837328186,-16.3594149739926
10.9,90.0000000000002,-160,-52.8892089840444,-10.1784759381716
10.9,90.0000000000002,-150,-50.4844533611756,-6.05166584258893
10.9,90.0000000000002,-140,-47.6839387836259,-2.83920819504804
10.9,90.0000000000002,-130,-46.6719518775048,-0.778175785740333
10.9,90.0000000000002,-120,-41.3892338620759,0.371261808976661
10.9,90.0000000000002,-110,-38.7845966712174,1.34715261262648
10.9,90.0000000000002,-100,-42.9220981072759,2.26478751445998
10.9,90.0000000000002,-90,-60.692553391649,2.64210158500693
10.9,90.0000000000002,-80,-61.2528172056158,2.25750803513531
10.9,90.0000000000002,-70,-47.9700587894425,1.34240194706007
10.9,90.0000000000002,-60,-41.8924704930375,0.358338861787295
10.9,90.0000000000002,-50,-40.0984030500365,-0.733233483990434
10.9,90.0000000000002,-40,-39.9382108788355,-2.58253229279892
10.9,90.0000000000002,-30,-47.2478303113339,-5.57545836412082
10.9,90.0000000000002,-20,-54.7026206953158,-9.67652843796736
10.9,90.0000000000002,-10,-55.5426482901811,-15.8520510152875
10.9,90.0000000000002,0,-44.0464744409451,-41.3136525830093
10.9,90.0000000000002,10,-39.2773367604104,-16.4153744860173
10.9,90.0000000000002,20,-38.8234453884359,-9.93025518586213
10.9,90.0000000000002,30,-41.6650670360787,-5.70880697722649
10.9,90.0000000000002,40,-51.3883585859801,-2.67985999881481
10.9,90.0000000000002,50,-42.1419438397677,-0.81959728944885
10.9,90.0000000000002,60,-36.1076009309883,0.304550089896947
10.9,90.0000000000002,70,-39.8545416689037,1.31525255004872
10.9,90.0000000000002,80,-53.1459797648495,2.1897691898543
10.9,90.0000000000002,90,-51.1974265851325,2.47361850549542
10.9,90.0000000000002,100,-43.8693606679379,2.00627700075959
10.9,90.0000000000002,110,-41.1241244043798,1.11001640590963
10.9,90.0000000000002,120,-40.8452070899175,0.239756511991871
10.9,90.0000000000002,130,-37.8997997717451,-0.816864141422543
10.9,90.0000000000002,140,-43.6054763527841,-2.74564894151609
10.9,90.0000000000002,150,-38.896982442819,-5.76275738510611
10.9,90.0000000000002,160,-38.2396844301487,-9.73440330470599
10.9,90.0000000000002,170,-43.4269063020226,-15.7987153473331
10.9,90.0000000000002,180,-50.5891548664432,-45.6629047090659
